OBJECTID,Vge_Name,ZONE_CODE,COUNT,AREA,SUM
1,Ayany Estate,1,86,0.000006635802480,7308.708771016940800
2,DC Village,2,56,0.000004320987661,7152.291378569360900
3,Gatwekera,3,146,0.000011265432117,7918.488671099274100
4,Kambi Muru,4,41,0.000003163580252,7363.544288590170300
5,Karanja Estate,5,79,0.000006095679022,14741.629419383917000
6,Kianda,6,74,0.000005709876552,521.529052144237200
7,Kisumu Ndogo,7,31,0.000002391975312,5288.955335124931500
8,Laini Saba,8,81,0.000006250000010,24778.520576292314000
9,Lindi,9,121,0.000009336419768,14369.306100032485000
10,Makina,10,91,0.000007021604950,11484.947736806798000
11,Makongeni,11,66,0.000005092592601,12771.828855324942000
12,Mashimoni,12,42,0.000003240740746,13156.634163562805000
13,Olympic Estate,13,93,0.000007175925937,7985.357077786989100
14,Raila,14,25,0.000001929012349,186.845647786987030
15,Silanga,15,65,0.000005015432107,5848.784823720920900
16,Soweto East,16,15,0.000001157407409,4702.965460452658600
17,Soweto West,17,36,0.000002777777782,269.057732813261340
18,Toi Market,18,65,0.000005015432107,7561.624846100621700
