OBJECTID,Vge_Name,ZONE_CODE,COUNT,AREA,SUM
1,Ghetto,1,25,0.000001929012349,1415.694713592529300
2,Gitathuru,2,9,0.000000694444446,2033.237205505371100
3,Kiamutisya,3,41,0.000003163580252,4286.415466308593700
4,Kosovo,4,43,0.000003317901240,10754.582466125488000
5,Kwa Kariuki,5,9,0.000000694444446,3284.300720214843700
6,Mabatini,6,22,0.000001697530867,1554.105861663818400
7,Mashimoni,7,28,0.000002160493831,5901.701271057128900
8,Mathare 3a,8,33,0.000002546296300,1868.717021942138700
9,Mathare 3c,9,25,0.000001929012349,1415.694713592529300
10,Mathare 4a,10,68,0.000005246913589,20063.183959960938000
11,Mathare 4b,11,34,0.000002623456794,6974.001281738281200
12,Village 2,12,41,0.000003163580252,4671.594524383544900
