X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.78318294,-1.316068098,1004,Gatwekera,Kibera,Religious facility,Roho Msalaba,Missing Values,NaN,1700
36.79069008,-1.313015804,1005,Lindi,Kibera,Social hall / community centre / resource centre,Romande multipurpose hall,Individual (eg business owner),NaN,1705.310833
36.78112959,-1.30948206,1006,Karanja estate,Kibera,Public space,Salama,No one,NaN,1719
36.79425333,-1.31343,1007,Laini saba,Kibera,Education Facility,Salama Day care,Community group,NaN,1705.4
36.77404674,-1.31133355,1008,Kianda,Kibera,Social hall / community centre / resource centre,Salvation army,Other,Salvation army,1751
36.77399092,-1.311346488,1009,Kianda,Kibera,Religious facility,Salvation Army church,Missing Values,NaN,1753
36.77374602,-1.31121779,1010,Kianda,Kibera,Education Facility,Salvation Army nursery school,Community group Other,Salvation Army church,1740
36.77986167,-1.314525,1011,Olympic estate,Kibera,Religious facility,Samaritans Ark Church,Missing Values,NaN,1768.7
36.77984167,-1.313438333,1012,Olympic estate,Kibera,Local administrative office,Sarang'ombe,Missing Values,NaN,1771.3
36.79021833,-1.314618333,1013,Lindi,Kibera,Education Facility,Saviour King Education Centre,Individual (eg business owner),None,1720.1
36.7974932,-1.31420011,1014,Laini saba,Kibera,Education Facility,SEEDS OF HOPE PRIMARY,Individual (eg business owner),NaN,1696
36.78038333,-1.312143333,1015,Olympic estate,Kibera,Religious facility,Seventh Adventist Church,Missing Values,NaN,1733.1
36.78109786,-1.314542675,1016,Gatwekera,Kibera,Religious facility,Seventh Day Adventist Church,Missing Values,NaN,1753
36.77194113,-1.308196904,1017,Kianda,Kibera,Religious facility,Seventh day adventist Jamhuri,Missing Values,NaN,1751
36.79878,-1.317788333,1018,Silanga,Kibera,Religious facility,Seventhday adventist undugu,Missing Values,NaN,1690.3
36.78759167,-1.310205,1019,Makongeni,Kibera,Other,Sewage,NGO,NaN,1748.2
36.7796,-1.309495,1020,Toi Market,Kibera,Other,Sewer line,No one,NaN,1766.6
36.77915833,-1.308181667,1021,Toi Market,Kibera,Other,Sewer line,Community group,NaN,1767.9
36.79387333,-1.316976667,1022,Lindi,Kibera,Education Facility,Shalyne educational Centre,Community group,None,1714.8
36.79283909,-1.311789219,1023,Lindi,Kibera,Education Facility,Shofco,NGO,Shofco,1699.85871
36.77371631,-1.31206849,1024,Kianda,Kibera,Social hall / community centre / resource centre,Shofco community centre,NGO,Shofco,1745
36.77362715,-1.312149349,1025,Kianda,Kibera,Social hall / community centre / resource centre,SHOFCO community centre (3),NGO,SHOFCO,1740
36.78614938,-1.315170773,1026,Gatwekera,Kibera,Education Facility,Shofco Kibera School For Girls,Individual (eg business owner),Ken odede,1693
36.78652333,-1.309563333,1027,Kambi muru,Kibera,Local organization/ NGO office,Shofco urban network,Missing Values,NaN,1765.5
36.782625,-1.313688333,1028,Gatwekera,Kibera,Social hall / community centre / resource centre,Shofco Y pp,Individual (eg business owner),Ken,1746.5
36.79667667,-1.317126667,1029,Silanga,Kibera,Other,Silanga odm,Community group,ODm,1711
36.77747333,-1.311281667,1030,Olympic estate,Kibera,Education Facility,Silver springs school,Individual (eg business owner),None,1769.9
36.796765,-1.318386667,1031,Silanga,Kibera,Religious facility,Siranga PAG church,Missing Values,NaN,1663
36.79228833,-1.31499,1032,Lindi,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,Sixty eight,Individual (eg business owner),None,1722.7
36.78881667,-1.313146667,1033,Kisumu ndogo,Kibera,Social hall / community centre / resource centre,Skyrope social hall,Individual (eg business owner),NaN,1736.1
36.77887167,-1.315246667,1034,soweto west,Kibera,Education Facility,Smiling Face,Individual (eg business owner),None,1751.2
36.7915007,-1.31438063,1035,Lindi,Kibera,Public space,Sokomoko,Community group,NaN,1711.887862
36.79912333,-1.31537,1036,soweto east,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,SOWETO 58 JUNCTION,Community group,SOWETO 58,1704.9
36.77607,-1.316066667,1037,soweto west,Kibera,Education Facility,Soweto Academy,Individual (eg business owner),NA,1734.1
36.77594667,-1.316065,1038,soweto west,Kibera,Education Facility,Soweto Academy,Individual (eg business owner),NA,1734.5
36.80054333,-1.316871667,1039,Silanga,Kibera,Education Facility,Soweto Baptist High School,Individual (eg business owner),NaN,1710.2
36.77654167,-1.316586667,1040,soweto east,Kibera,Public space,Soweto darajani,No one,None,1763.1
36.79974833,-1.315136667,1041,soweto east,Kibera,Social hall / community centre / resource centre,SOWETO EAST RESOURCE CENTER,Other,UNITED NATIONS,1692.8
36.77114217,-1.31039334,1042,Kianda,Kibera,Education Facility,Soweto junior centre,Individual (eg business owner),Individual,1740
36.800375,-1.315668333,1043,soweto east,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,SOWETO RESOURCE CENTER STAGE,Other,SOSIMA,1869.6
36.796455,-1.314746667,1044,Laini saba,Kibera,Pharmacy / chemist,Sprout Medical Clinic,Missing Values,NaN,1633.3
36.77991333,-1.314408333,1045,Olympic estate,Kibera,Education Facility,Spurgeons Child Care Kenya,Individual (eg business owner),NA,1768.9
36.79553,-1.316806667,1046,Silanga,Kibera,Pharmacy / chemist,St  marys Chemist,Missing Values,NaN,1726.2
36.79843833,-1.317646667,1047,Silanga,Kibera,Religious facility,"St Daniel Combon shilanga,Christ The King Catholic Parish",Missing Values,NaN,1732.1
36.78324833,-1.314946667,1048,Gatwekera,Kibera,Religious facility,St Elizabeth Church,Missing Values,NaN,1738.4
36.77500606,-1.311568986,1049,Kianda,Kibera,Religious facility,St George's Orthodox Church,Missing Values,NaN,1733
36.79623833,-1.318281667,1050,Silanga,Kibera,Education Facility,St john,Community group,NaN,1696.9
36.77183624,-1.30861913,1051,Kianda,Kibera,Religious facility,St luck outstation catholic church,Missing Values,NaN,1743
36.77198619,-1.31093988,1052,Kianda,Kibera,Education Facility,St michaels holy unity,Individual (eg business owner),NaN,1736
36.778855,-1.315233333,1053,soweto west,Kibera,Religious facility,St Sam Roho Lwanda,Missing Values,NaN,1790.6
36.78892,-1.309126667,1054,Makongeni,Kibera,Religious facility,St Thomas Catholic Church,Missing Values,NaN,1761.5
36.77755,-1.317423333,1055,Raila,Kibera,Education Facility,"St,Stephen Educational Centre",Individual (eg business owner),None,1730.8
36.79792833,-1.31322,1056,soweto east,Kibera,Religious facility,ST. BAKHITA CATHOLIC CHURCH SIWETO,Missing Values,NaN,1716.9
36.78621167,-1.312143333,1057,Kambi muru,Kibera,Religious facility,St. Joseph Darajani,Missing Values,NaN,1778.7
36.782615,-1.314651667,1058,Gatwekera,Kibera,Education Facility,St. Judy Center,Individual (eg business owner),NaN,1732.5
36.783615,-1.314883333,1059,Gatwekera,Kibera,Education Facility,St. Stephen Education Center,Individual (eg business owner),NaN,1745.3
36.777495,-1.314178333,1060,Olympic estate,Kibera,Education Facility,St. Vincent De Paul Nursery School,NGO,NA,1744.9
36.79780667,-1.317266667,1061,Silanga,Kibera,Pharmacy / chemist,St.Andrews De Paul Medical Centre,Missing Values,NaN,1730.1
36.77713167,-1.317513333,1062,Raila,Kibera,Education Facility,St.Christine Educational Centre,Individual (eg business owner),None,1867.8
36.77695667,-1.317451667,1063,Raila,Kibera,Education Facility,St.Christine Educational centre,Individual (eg business owner),None,1725.6
36.77498566,-1.31160835,1064,Kianda,Kibera,Education Facility,St.george orthodox,Other,NaN,1733
36.80101833,-1.317293333,1065,Silanga,Kibera,Education Facility,St.marys Education Centre,Individual (eg business owner),NaN,1715.1
36.79196333,-1.312468333,1066,Lindi,Kibera,Education Facility,St.Mary's High School,Individual (eg business owner),None,1733.1
36.77672694,-1.31204581,1067,Kianda,Kibera,Education Facility,St.peters,Individual (eg business owner),NaN,1752
36.78155833,-1.310428333,1068,Karanja estate,Kibera,Education Facility,Star of the land education center,Community group,N/a,1773
36.78626833,-1.31161,1069,Karanja estate,Kibera,Education Facility,Stara rescue center and school,Community group,Stara peace women organization,1725.4
36.78644167,-1.31172,1070,Kambi muru,Kibera,Education Facility,Stara Rescue Centre and Schoool,NGO,NaN,1779.9
36.777105,-1.314376667,1071,Olympic estate,Kibera,Education Facility,Starays High School,Individual (eg business owner),NA,1752.1
36.78117,-1.310578333,1072,Karanja estate,Kibera,Education Facility,Starlight day care center,Individual (eg business owner),N/a,1772.9
36.77303254,-1.30809892,1073,Ayany estate,Kibera,Religious facility,Strong City family church,Missing Values,NaN,1757
36.77901,-1.314878333,1074,Olympic estate,Kibera,Pharmacy / chemist,Subra medical center,Missing Values,NaN,1771.7
36.792815,-1.31532,1075,Lindi,Kibera,Pharmacy / chemist,Sulda chemist,Missing Values,NaN,1759.1
36.79495167,-1.316596667,1076,Silanga,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,Sunday studio,No one,NaN,1730.6
